"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TXLXXH3W","journalArticle","2023","Cubas, German; Silos, Pedro; Soini, Vesa","Risk and the Misallocation of Human Capital","Working Paper","","","","","","2023","2023-05-12 08:01:10","2023-06-16 23:41:46","","1-50","","","","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\YAGCHFTE\Risk and the Misallocation of Human Capital - Working Paper - 2023.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NT6T2DMH","journalArticle","2014","Papageorgiou, Theodore","Learning Your Comparative Advantages","Review of Economic Studies","","1467-937X, 0034-6527","10.1093/restud/rdt048","https://academic.oup.com/restud/article-lookup/doi/10.1093/restud/rdt048","While employed, workers learn their comparative advantage and eventually choose occupations that best match their abilities. This learning process is consistent with a number of key facts about occupational mobility, such as the offsetting worker ﬂows across occupations, the non-random patterns of occupational transitions, and the decline of occupational switching with age. We illustrate how search frictions delay learning and lead to mismatch, thereby reducing worker productivity. Moreover, we explore how different workers perform in different occupations. Are the best workers in one occupation also the best workers in another occupation (one-dimensional model of ability)? Or are some workers good at one occupation and other workers good at a different one (comparative advantage model)? The calibration favours the model of comparative advantage, as opposed to the widely used one-dimensional ability model. We use the calibrated model to investigate how the level of unemployment beneﬁts affects worker productivity.","2014-07","2023-05-12 10:27:02","2023-05-14 11:08:24","2023-05-12 10:27:02","1263-1295","","3","81","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\7H4RSJNQ\Learning Your Comparative Advantages - Review of Economic Studies - 2014.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LIKKIKT","journalArticle","1979","Jovanovic, Boyan","Job Matching and the Theory of Turnover","Journal of Political Economy","","0022-3808, 1537-534X","10.1086/260808","https://www.journals.uchicago.edu/doi/10.1086/260808","","1979-10","2023-05-12 10:27:04","2023-06-15 18:31:47","2023-05-12 10:27:04","972-990","","5, Part 1","87","","Journal of Political Economy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\LPDPTLHL\Job Matching and the Theory of Turnover - Journal of Political Economy - 1979.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYGZTLYW","journalArticle","2009","Kambourov, Gueorgui; Manovskii, Iourii","Occupational Mobility and Wage Inequality","Review of Economic Studies","","","10.1111/j.1467-937X.2009.00535.x","","","2009","2023-05-12 10:27:05","2023-06-16 23:43:16","","731-759","","2","76","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\Q72SC3CI\Occupational Mobility and Wage Inequality - Review of Economic Studies - 2009.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAF9WECM","journalArticle","2008","Kambourov, Gueorgui; Manovskii, Iourii","Rising Occupational and Industry Mobility in the United States: 1968-97","International Economic Review","","","10.1111/j.1468-2354.2008.00473.x","","","2008","2023-05-12 10:27:07","2023-06-16 23:50:36","","41-79","","1","49","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\RHNASQDR\Rising Occupational and Industry Mobility in the United States - 1968-97 - International Economic Review - 2008.pdf","","not so relevant; occupational choice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6AZWWIK9","journalArticle","2010","Singh, Aarti","Human Capital Risk in Life-Cycle Economies","Journal of Monetary Economics","","","10.1016/j.jmoneco.2010.05.012","","","2010","2023-05-12 10:27:09","2023-06-16 23:47:42","","729-738","","6","57","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\W45QNMMS\Human Capital Risk in Life-Cycle Economies - Journal of Monetary Economics - 2010.pdf","","relevant; on-the-job hc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQRURCWN","journalArticle","2003","Krebs, T.","Human Capital Risk and Economic Growth","The Quarterly Journal of Economics","","","10.1162/003355303321675491","","","2003","2023-05-12 10:27:10","2023-06-16 23:44:02","","709-744","","2","118","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\AG2FELNC\Human Capital Risk and Economic Growth - The Quarterly Journal of Economics - 2003.pdf","","relevant; on-the-job hc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2E7FZ7Y","journalArticle","2002","Bénabou, Roland","Tax and Education Policy in a Heterogenous-Agent Economy: What Levels of Redistribution Maximize Growth and Efficiency?","Econometrica","","","","","This paper studies the effects of progressive income taxes and education ﬁnance in a dynamic heterogeneous-agent economy. Such redistributive policies entail distortions to labor supply and savings, but also serve as partial substitutes for missing credit and insurance markets. The resulting tradeoffs for growth and efﬁciency are explored, both theoretically and quantitatively, in a model that yields complete analytical solutions. Progressive education ﬁnance always leads to higher income growth than taxes and transfers, but at the cost of lower insurance. Overall efﬁciency is assessed using a new measure that properly reﬂects aggregate resources and idiosyncratic risks but, unlike a standard social welfare function, does not reward equality per se. Simulations using empirical parameter estimates show that the efﬁciency costs and beneﬁts of redistribution are generally of the same order of magnitude, resulting in plausible values for the optimal rates. Aggregate income and aggregate welfare provide only crude lower and upper bounds around the true efﬁciency tradeoff.","2002","2023-05-12 10:27:11","2023-06-15 18:36:31","","481-517","","2","70","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\YX9JJP8B\Tax and Education Policy in a Heterogenous-Agent Economy - What Levels of - Econometrica - 2002.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7GEKSY5","journalArticle","2018","Park, Yena","Constrained Efficiency in a Human Capital Model","American Economic Journal: Macroeconomics","","","10.1257/mac.20160405","","","2018","2023-05-12 10:27:13","2023-06-16 23:45:08","","179-214","","3","10","","American Economic Journal: Macroeconomics","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\I87T87U6\Constrained Efficiency in a Human Capital Model - American Economic Journal Macroeconomics - 2018.pdf","","relevant; on-the-job hc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNB4FUDK","journalArticle","2012","Dávila, Julio; Hong, Jay H.; Krusell, Per; Ríos-Rull, José-VÍctor","Constrained Efficiency in the Neoclassical Growth Model With Uninsurable Idiosyncratic Shocks","Econometrica","","0012-9682","10.3982/ECTA5989","http://doi.wiley.com/10.3982/ECTA5989","We investigate the welfare properties of the one-sector neoclassical growth model with uninsurable idiosyncratic shocks. We focus on the notion of constrained efficiency used in the general equilibrium literature. Our characterization of constrained efficiency uses the first-order condition of a constrained planner’s problem. This condition highlights the margins of relevance for whether capital is too high or too low: the factor composition of income of the (consumption-)poor. Using three calibrations commonly considered in the literature, we illustrate that there can be either over- or underaccumulation of capital in steady state and that the constrained optimum may or may not be consistent with a nondegenerate long-run distribution of wealth. For the calibration that roughly matches the income and wealth distribution, the constrained inefficiency of the market outcome is rather striking: it has much too low a steady-state capital stock.","2012","2023-05-12 10:27:15","2023-06-15 18:16:06","2023-05-12 10:27:15","2431-2467","","6","80","","Econometrica","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\LNXT78EV\Constrained Efficiency in the Neoclassical Growth Model With Uninsurable - Econometrica - 2012.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
